,Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.)
0,Dec-22,382,7829.49,1282055.01
1,Nov-22,376,7309.45,1190593.39
2,Oct-22,365,7305.42,1211582.51
3,Sep-22,358,6780.8,1116438.1
4,Aug-22,346,6579.63,1072792.68
5,Jul-22,338,6288.4,1062747.0
6,Jun-22,330,5862.75,1014384.0
7,May-22,323,5955.2,1041506.0
8,Apr-22,316,5583.05,983302.27
9,Mar-22,314,5405.65,960581.66
10,Feb-22,304,4527.49,826843.0
11,Jan-22,297,4617.15,831993.11
12,Dec-21,282,4566.3,826848.22
13,Nov-21,274,4186.48,768436.11
14,Oct-21,261,4218.65,771444.98
15,Sep-21,259,3654.3,654351.81
16,Aug-21,249,3555.55,639116.95
17,Jul-21,235,3247.82,606281.14
18,Jun-21,229,2807.51,547373.17
19,May-21,224,2539.57,490638.65
20,Apr-21,220,2641.06,493663.68
21,Mar-21,216,2731.68,504886.44
22,Feb-21,213,2292.9,425062.76
23,Jan-21,207,2302.73,431181.89
24,Dec-20,207,2234.16,416176.21
25,Nov-20,200,2210.23,390999.15
26,Oct-20,189,2071.62,386106.74
27,Sept-20,174,1800.14,329027.66
28,Aug-20,168,1618.83,298307.61
29,July-20,164,1497.36,290537.86
30,June-20,155,1336.93,261835.0
31,May-20,155,1234.5,218391.6
32,Apr-20,153,999.57,151140.66
33,Mar-20,148,1246.84,206462.31
34,Feb-20,146,1325.69,222516.95
35,Jan-20,144,1305.02,216242.97
36,Dec-19,143,1308.4,202520.76
37,Nov-19,143,1218.77,189229.09
38,Oct-19,141,1148.36,191359.94
39,Sept-19,141,955.02,161456.56
40,Aug-19,141,918.35,154504.89
41,July-19,143,822.29,146386.64
42,June-19,142,754.54,146566.35
43,May-19,143,733.54,152449.29
44,Apr-19,144,781.79,142034.39
45,Mar-19,142,799.54,133460.72
46,Feb-19,139,674.19,106737.12
47,Jan-19,134,672.75,109932.43
48,Dec-18,129,620.17,102594.82
49,Nov-18,128,524.94,82232.21
50,Oct-18,128,482.36,74978.27
51,Sep-18,122,405.87,59835.36
52,Aug-18,114,312.02,54212.26
53,July-18,114,273.75,51843.14
54,June-18,110,246.37,40834.03
55,May-18,101,189.48,33288.51
56,Apr-18,97,190.08,27021.85
57,Mar-18,91,178.05,24172.6
58,Feb-18,86,171.4,19126.2
59,Jan-18,71,151.83,15571.2
60,Dec-17,67,145.64,13174.24
61,Nov-17,61,105.02,9669.33
62,Oct-17,60,76.96,7057.78
63,Sep-17,57,30.98,5325.81
64,Aug-17,55,16.8,4156.62
65,July-17,53,11.63,3411.35
66,June-17,52,10.35,3098.36
67,May-17,49,9.36,2797.07
68,Apr-17,48,7.2,2271.24
69,Mar-17,44,6.37,2425.14
70,Feb-17,44,4.38,1937.71
71,Jan-17,36,4.46,1696.22
72,Dec-16,35,1.99,707.93
73,Nov-16,30,0.29,100.46
74,Oct-16,26,0.1,48.57
75,Sep-16,25,0.09,32.64
76,Aug-16,21,0.09,3.09
77,Jul-16,21,0.09,0.38
78,Jun-16,21,0.0,0.0
79,May-16,21,0.0,0.0
80,Apr-16,21,0.0,0.0
