,Month,Uptime_Percent,Downtime_mins,Incidents
0,January 2020,99.98%,,
1,February 2020,100%,,
2,March 2020,99.99%,5,1
3,April 2020,99.83%,75,1
4,May 2020,99.90%,NIL,NIL
5,June 2020,99.92%,NIL,NIL
6,July 2020,99.96%,NIL,NIL
7,August 2020,100.00%,NIL,NIL
8,September 2020,99.85%,40,2
9,October 2020,99.97%,15,1
10,November 2020,99.83%,NIL,NIL
11,December 2020,99.99%,NIL,NIL
12,January 2021,99.28%,NIL,NIL
13,February 2021,99.93%,NIL,NIL
14,March 2021,99.96%,7,1
15,April 2021,99.9444%,NIL,NIL
16,May 2021,99.90%,43,1
17,Jun 2021,99.93%,NIL,NIL
18,Jul 2021,99.90%,NIL,NIL
19,Aug 2021,100%,NIL,NIL
20,Sep 2021,99.9910%,NIL,NIL
21,Oct 2021,99.9574%,19,1
22,Nov 2021,99.9954%,NIL,NIL
23,Dec 2021,100.00%,NIL,NIL
24,Jan 2022,99.5721%,187,1
25,Feb 2022,99.9950%,NIL,NIL
26,Mar 2022,100%,NIL,NIL
27,Apr 2022,100%,NIL,NIL
28,May 2022,99.7245%,121,1
29,Jun 2022,100%,-,-
30,Jul 2022,99.9977%,-,-
31,Aug 2022,99.9977%,-,-
32,Sep 2022,99.9954%,-,-
33,Oct 2022,99.9955%,-,-
34,Nov 2022,100%,-,-
35,Dec 2022,99.9977%,-,-
